pred_id,series_id,timestamp,temperature,consumption,prediction_window
0,102781,2013-03-03 00:00:00,19.93125,339316.56789084885,daily
1,102781,2013-03-04 00:00:00,20.034375,339316.56789084885,daily
2,102781,2013-03-05 00:00:00,19.18958333333333,339316.56789084885,daily
3,102781,2013-03-06 00:00:00,18.397916666666667,339316.56789084885,daily
4,102781,2013-03-07 00:00:00,20.7625,339316.56789084885,daily
5,102781,2013-03-08 00:00:00,19.8,339316.56789084885,daily
6,102781,2013-03-09 00:00:00,20.466666666666665,339316.56789084885,daily
7,103342,2013-06-26 00:00:00,10.486607142857146,11157466.493084699,weekly
8,103342,2013-07-03 00:00:00,10.006547619047616,11802839.135590537,weekly
9,102969,2013-12-15 00:00:00,20.214583333333334,385219.1168031971,daily
10,102969,2013-12-16 00:00:00,20.05625,377525.3451562477,daily
11,102969,2013-12-17 00:00:00,19.95625,372313.49444732623,daily
12,102969,2013-12-18 00:00:00,18.352083333333336,368181.42492274055,daily
13,102969,2013-12-19 00:00:00,18.25208333333333,365059.32965232607,daily
14,102969,2013-12-20 00:00:00,17.779166666666665,363808.4059830742,daily
15,102969,2013-12-21 00:00:00,17.91875,363796.47466361825,daily
16,102718,2015-01-06 00:00:00,19.733333333333334,856113.5206358792,daily
17,102718,2015-01-07 00:00:00,20.152083333333334,827841.5404687498,daily
18,102718,2015-01-08 00:00:00,19.583333333333336,816708.6999181346,daily
19,102718,2015-01-09 00:00:00,20.279166666666672,810150.681313462,daily
20,102718,2015-01-10 00:00:00,20.6625,806210.1250074427,daily
21,102718,2015-01-11 00:00:00,20.950000000000006,803306.6497243536,daily
22,102718,2015-01-12 00:00:00,21.383333333333336,797469.2716675715,daily
23,102493,2015-10-17 00:00:00,14.476488095238093,3730561.8512823265,weekly
24,102493,2015-10-24 00:00:00,15.066666666666672,3863821.9269861896,weekly
25,102374,2016-09-17 00:00:00,13.033333333333335,3231383.6620689845,weekly
26,102374,2016-09-24 00:00:00,14.073214285714286,3440649.842857374,weekly
27,102714,2013-09-03 00:00:00,10.896726190476189,48641985.83418845,weekly
28,102714,2013-09-10 00:00:00,12.070680272108845,47710592.10520568,weekly
29,100712,2013-10-17 00:00:00,15.048809523809519,35429819.89742097,weekly
30,100712,2013-10-24 00:00:00,15.323511904761903,35330681.919195175,weekly
31,101878,2014-04-08 00:00:00,18.85,152377.6238163979,hourly
32,101878,2014-04-08 01:00:00,19.0,153665.61839799193,hourly
33,101878,2014-04-08 02:00:00,19.0,162760.33220072114,hourly
34,101878,2014-04-08 03:00:00,18.15,172658.52710269348,hourly
35,101878,2014-04-08 04:00:00,17.0,172800.1217918975,hourly
36,101878,2014-04-08 05:00:00,17.0,172658.52710269348,hourly
37,101878,2014-04-08 06:00:00,17.75,172238.16580625935,hourly
38,101878,2014-04-08 07:00:00,18.0,173714.59024348637,hourly
39,101878,2014-04-08 08:00:00,18.0,275073.9850573185,hourly
40,101878,2014-04-08 09:00:00,19.8,276414.73383741546,hourly
41,101878,2014-04-08 10:00:00,20.0,372327.0403679281,hourly
42,101878,2014-04-08 11:00:00,21.0,391385.34447532025,hourly
43,101878,2014-04-08 12:00:00,21.95,387790.2806208424,hourly
44,101878,2014-04-08 13:00:00,22.0,386728.749526628,hourly
45,101878,2014-04-08 14:00:00,21.0,378711.7506400106,hourly
46,101878,2014-04-08 15:00:00,22.15,389329.9660885996,hourly
47,101878,2014-04-08 16:00:00,22.0,360698.9505822719,hourly
48,101878,2014-04-08 17:00:00,21.0,334741.530508281,hourly
49,101878,2014-04-08 18:00:00,20.15,305503.0770858436,hourly
50,101878,2014-04-08 19:00:00,20.0,284705.3531839534,hourly
51,101878,2014-04-08 20:00:00,19.0,274453.2430714403,hourly
52,101878,2014-04-08 21:00:00,18.95,255080.46012984397,hourly
53,101878,2014-04-08 22:00:00,19.0,198999.57306773754,hourly
54,101878,2014-04-08 23:00:00,19.0,200646.70327013082,hourly
55,103268,2015-04-23 00:00:00,14.05,141421.38932281348,hourly
56,103268,2015-04-23 01:00:00,15.0,140100.53288735784,hourly
57,103268,2015-04-23 02:00:00,14.0,141618.97053518775,hourly
58,103268,2015-04-23 03:00:00,14.1,141618.97053518775,hourly
59,103268,2015-04-23 04:00:00,14.0,141618.97053518775,hourly
60,103268,2015-04-23 05:00:00,13.0,141618.97053518775,hourly
61,103268,2015-04-23 06:00:00,13.15,135984.79818399122,hourly
62,103268,2015-04-23 07:00:00,13.0,203612.42429169585,hourly
63,103268,2015-04-23 08:00:00,14.0,226359.16349002413,hourly
64,103268,2015-04-23 09:00:00,15.75,309538.9985672421,hourly
65,103268,2015-04-23 10:00:00,17.0,332399.86173563,hourly
66,103268,2015-04-23 11:00:00,20.0,325040.0059718098,hourly
67,103268,2015-04-23 12:00:00,19.8,335573.67644859885,hourly
68,103268,2015-04-23 13:00:00,19.0,319760.30024146015,hourly
69,103268,2015-04-23 14:00:00,19.0,330005.78199025185,hourly
70,103268,2015-04-23 15:00:00,18.15,306213.91117667867,hourly
