pred_id,series_id,timestamp,temperature,consumption,prediction_window
0,102781,2013-03-03 00:00:00,19.93125,408998.34218838206,daily
1,102781,2013-03-04 00:00:00,20.034375,419387.312294609,daily
2,102781,2013-03-05 00:00:00,19.18958333333333,422822.2329473794,daily
3,102781,2013-03-06 00:00:00,18.397916666666667,424029.35733497597,daily
4,102781,2013-03-07 00:00:00,20.7625,424427.4023209114,daily
5,102781,2013-03-08 00:00:00,19.8,424536.44843299815,daily
6,102781,2013-03-09 00:00:00,20.466666666666665,424554.058489195,daily
7,103342,2013-06-26 00:00:00,10.486607142857146,13149053.034649568,weekly
8,103342,2013-07-03 00:00:00,10.006547619047616,14107765.604655165,weekly
9,102969,2013-12-15 00:00:00,20.214583333333334,366013.3609243323,daily
10,102969,2013-12-16 00:00:00,20.05625,349984.11074619694,daily
11,102969,2013-12-17 00:00:00,19.95625,342008.15274691285,daily
12,102969,2013-12-18 00:00:00,18.352083333333336,338641.68159812345,daily
13,102969,2013-12-19 00:00:00,18.25208333333333,337233.87946864846,daily
14,102969,2013-12-20 00:00:00,17.779166666666665,336641.3787912864,daily
15,102969,2013-12-21 00:00:00,17.91875,336390.7113842638,daily
16,102718,2015-01-06 00:00:00,19.733333333333334,841875.1419386312,daily
17,102718,2015-01-07 00:00:00,20.152083333333334,838434.290644909,daily
18,102718,2015-01-08 00:00:00,19.583333333333336,842713.0090276727,daily
19,102718,2015-01-09 00:00:00,20.279166666666672,849792.2056991667,daily
20,102718,2015-01-10 00:00:00,20.6625,857155.1195114555,daily
21,102718,2015-01-11 00:00:00,20.950000000000006,862950.9400986516,daily
22,102718,2015-01-12 00:00:00,21.383333333333336,868120.5424636895,daily
23,102493,2015-10-17 00:00:00,14.476488095238093,3824568.3008335372,weekly
24,102493,2015-10-24 00:00:00,15.066666666666672,3896115.4055747474,weekly
25,102374,2016-09-17 00:00:00,13.033333333333335,2850015.699003781,weekly
26,102374,2016-09-24 00:00:00,14.073214285714286,2833660.9826800525,weekly
27,102714,2013-09-03 00:00:00,10.896726190476189,49621803.29488741,weekly
28,102714,2013-09-10 00:00:00,12.070680272108845,52434235.49589211,weekly
29,100712,2013-10-17 00:00:00,15.048809523809519,37893720.725987315,weekly
30,100712,2013-10-24 00:00:00,15.323511904761903,37071312.18155953,weekly
31,101878,2014-04-08 00:00:00,18.85,135074.90682252357,hourly
32,101878,2014-04-08 01:00:00,19.0,144909.2685942114,hourly
33,101878,2014-04-08 02:00:00,19.0,142474.77510296225,hourly
34,101878,2014-04-08 03:00:00,18.15,148826.21557394505,hourly
35,101878,2014-04-08 04:00:00,17.0,148199.3922776972,hourly
36,101878,2014-04-08 05:00:00,17.0,159296.09215737964,hourly
37,101878,2014-04-08 06:00:00,17.75,174545.60914436722,hourly
38,101878,2014-04-08 07:00:00,18.0,199365.07879926325,hourly
39,101878,2014-04-08 08:00:00,18.0,243744.4740269414,hourly
40,101878,2014-04-08 09:00:00,19.8,303793.85205626563,hourly
41,101878,2014-04-08 10:00:00,20.0,333920.04752013274,hourly
42,101878,2014-04-08 11:00:00,21.0,338188.8853574302,hourly
43,101878,2014-04-08 12:00:00,21.95,368977.65485123347,hourly
44,101878,2014-04-08 13:00:00,22.0,409957.03373395617,hourly
45,101878,2014-04-08 14:00:00,21.0,411142.5344441729,hourly
46,101878,2014-04-08 15:00:00,22.15,391345.8585903511,hourly
47,101878,2014-04-08 16:00:00,22.0,377354.5594929349,hourly
48,101878,2014-04-08 17:00:00,21.0,347042.13455710537,hourly
49,101878,2014-04-08 18:00:00,20.15,307068.27600226155,hourly
50,101878,2014-04-08 19:00:00,20.0,278104.91179584473,hourly
51,101878,2014-04-08 20:00:00,19.0,261359.7995288999,hourly
52,101878,2014-04-08 21:00:00,18.95,231321.45438308205,hourly
53,101878,2014-04-08 22:00:00,19.0,194730.79574099105,hourly
54,101878,2014-04-08 23:00:00,19.0,170128.2289064258,hourly
55,103268,2015-04-23 00:00:00,14.05,116405.52724689794,hourly
56,103268,2015-04-23 01:00:00,15.0,148195.23111850696,hourly
57,103268,2015-04-23 02:00:00,14.0,144885.57990620343,hourly
58,103268,2015-04-23 03:00:00,14.1,146733.9582700943,hourly
59,103268,2015-04-23 04:00:00,14.0,142585.95854259617,hourly
60,103268,2015-04-23 05:00:00,13.0,140799.43705289488,hourly
61,103268,2015-04-23 06:00:00,13.15,144010.19017124255,hourly
62,103268,2015-04-23 07:00:00,13.0,179158.9802819893,hourly
63,103268,2015-04-23 08:00:00,14.0,224250.94045540094,hourly
64,103268,2015-04-23 09:00:00,15.75,294479.4317452246,hourly
65,103268,2015-04-23 10:00:00,17.0,349625.9076262092,hourly
66,103268,2015-04-23 11:00:00,20.0,356947.7127199137,hourly
67,103268,2015-04-23 12:00:00,19.8,359882.3905144571,hourly
68,103268,2015-04-23 13:00:00,19.0,350425.28948856366,hourly
69,103268,2015-04-23 14:00:00,19.0,356718.17492657027,hourly
70,103268,2015-04-23 15:00:00,18.15,361168.83217040746,hourly
71,103268,2015-04-23 16:00:00,18.0,322041.34958799055,hourly
72,103268,2015-04-23 17:00:00,18.0,285078.93938637996,hourly
73,103268,2015-04-23 18:00:00,16.8,267049.75949247734,hourly
74,103268,2015-04-23 19:00:00,16.0,255269.72101976108,hourly
75,103268,2015-04-23 20:00:00,15.0,240409.52297844493,hourly
76,103268,2015-04-23 21:00:00,13.15,223240.12547865513,hourly
77,103268,2015-04-23 22:00:00,14.0,200919.0238241892,hourly
78,103268,2015-04-23 23:00:00,13.333333333333336,173362.45466626078,hourly
79,103578,2013-01-09 00:00:00,20.654166666666665,6983834.170424549,daily
80,103578,2013-01-10 00:00:00,22.022916666666664,6987812.632697631,daily
81,103578,2013-01-11 00:00:00,21.95208333333333,6991437.784707574,daily
82,103578,2013-01-12 00:00:00,21.61458333333333,6992033.146466631,daily
83,103578,2013-01-13 00:00:00,21.76666666666667,6989175.784493944,daily
84,103578,2013-01-14 00:00:00,21.33333333333333,6986375.514670877,daily
85,103578,2013-01-15 00:00:00,20.18958333333333,6985561.0444016205,daily
86,100735,2013-04-25 00:00:00,16.2,249814.80206925806,hourly
87,100735,2013-04-25 01:00:00,16.0,266116.4134245278,hourly
88,100735,2013-04-25 02:00:00,16.0,264814.192500643,hourly
89,100735,2013-04-25 03:00:00,15.85,267856.4437760498,hourly
90,100735,2013-04-25 04:00:00,16.0,273933.51380421023,hourly
91,100735,2013-04-25 05:00:00,16.0,292897.05516188714,hourly
92,100735,2013-04-25 06:00:00,15.8,316604.28369874007,hourly
93,100735,2013-04-25 07:00:00,16.0,349746.17474627943,hourly
94,100735,2013-04-25 08:00:00,17.0,376169.1580591015,hourly
95,100735,2013-04-25 09:00:00,18.9,401791.48800098896,hourly
96,100735,2013-04-25 10:00:00,20.0,420864.6200177699,hourly
97,100735,2013-04-25 11:00:00,21.0,436533.2498881994,hourly
98,100735,2013-04-25 12:00:00,20.95,434952.2442814318,hourly
99,100735,2013-04-25 13:00:00,20.0,431773.4090126789,hourly
100,100735,2013-04-25 14:00:00,21.0,426839.3268968144,hourly
